,file,case,ckappa_manl2cs,ckappa_manbase,ckappa_manl2cs_li,ckappa_manbase_li,ckappa_manl2cs_qua,ckappa_manbase_qua
0,33001_sessie1_taskrobotEngagement,visible,0.3976083707025412,0.5294117647058824,0.39633447880870565,0.5164644714038127,0.3506594259115593,0.49630723781388486
1,33001_sessie2_taskrobotEngagement,visible,0.3157894736842105,0.6715328467153284,0.11111111111111116,0.7272727272727273,-0.08974358974358965,0.7428571428571429
2,33001_sessie3_taskrobotEngagement,visible,0.22000000000000008,0.5900900900900901,0.11363636363636387,0.5666666666666667,-0.0022026431718062955,0.5258358662613982
3,33002_sessie1_taskrobotEngagement,visible,0.12686567164179097,0.020725388601036232,0.1580041580041579,-0.018867924528301883,0.2021772939346812,-0.08000000000000007
4,33002_sessie2_taskrobotEngagement,visible,0.2639664804469274,0.10943912448700399,0.21660649819494582,0.034426229508196626,0.09533073929961078,-0.05740432612312807
5,33002_sessie3_taskrobotEngagement,visible,-0.05263157894736836,0.1578947368421053,-0.0714285714285714,0.2142857142857143,-0.08695652173913038,0.26086956521739135
6,33003_sessie1_taskrobotEngagement,visible,0.0393013100436681,0.08396946564885499,0.09523809523809512,0.07216494845360821,0.14634146341463394,0.0625
7,33003_sessie3_robotEngagement1,visible,0.08823529411764697,0.49756888168557534,0.12676056338028163,0.6251162790697675,0.12676056338028174,0.6916153481762197
8,33003_sessie3_taskrobotEngagement,visible,0.15674603174603174,0.4086021505376345,0.0880503144654089,0.5283018867924528,-0.03389830508474567,0.6389124893797791
9,33004_sessie1_taskrobotEngagement,visible,-0.1200000000000001,0.11111111111111116,-0.1428571428571428,0.16666666666666663,-0.1685393258426966,0.2222222222222222
10,33004_sessie2_taskrobotEngagement,visible,0.3264248704663212,0.04092071611253201,0.2819148936170214,-0.0034305317324183626,0.18918918918918914,-0.05720122574055164
11,33004_sessie3_taskrobotEngagement,visible,0.28141592920353986,0.31993299832495814,0.3585564610011641,0.5377258235919236,0.3986622073578595,0.7115272088940902
12,33005_sessie1_taskrobotEngagement,visible,0.136986301369863,0.641025641025641,0.2222222222222222,0.5153846153846153,0.32258064516129037,0.326923076923077
13,33005_sessie2_taskrobotEngagement,visible,0.21203830369357035,0.09243697478991597,0.2016129032258065,0.17915309446254057,0.15953307392996097,0.21813031161473095
14,33005_sessie3_taskrobotEngagement,visible,0.2596153846153847,0.3092105263157895,0.39130434782608703,0.36040609137055846,0.5242718446601942,0.41666666666666674
15,33006_sessie1_taskrobotEngagement,visible,0.4455445544554455,0.297872340425532,0.4716981132075472,0.27586206896551724,0.5172413793103448,0.25
16,33006_sessie2_taskrobotEngagement,visible,0.2941176470588235,0.3271028037383178,0.0,0.4545454545454545,-0.31092436974789894,0.564516129032258
17,33006_sessie3_taskrobotEngagement,visible,0.18181818181818177,0.040000000000000036,0.25,0.052631578947368474,0.3076923076923077,0.0625
18,33007_sessie1_taskrobotEngagement,visible,0.40372670807453415,0.04878048780487798,0.4744525547445255,1.1102230246251565e-16,0.52,-0.034482758620689724
19,33007_sessie2_taskrobotEngagement,visible,0.7234042553191489,0.0,0.8169014084507042,0.0,0.8907563025210085,0.0
20,33007_sessie3_taskrobotEngagement,visible,0.4700315457413249,0.35779816513761464,0.44000000000000006,0.4072580645161291,0.33333333333333337,0.4125874125874126
21,33008_sessie1_taskrobotEngagement,visible,0.2239263803680982,-0.03989361702127647,0.12658227848101267,-0.02016129032258074,0.007504690431519689,0.0
22,33008_sessie2_taskrobotEngagement,visible,0.12715517241379304,0.14684014869888462,-0.05499276410998544,0.18967587034813926,-0.2323651452282156,0.2220660576247364
23,33008_sessie3_taskrobotEngagement,visible,0.06896551724137945,0.0625,-0.1904761904761907,-0.0869565217391306,-0.6779661016949152,-0.3291139240506329
24,33010_sessie1_taskrobotEngagement,visible,0.09523809523809534,0.045851528384279416,0.026281208935611033,-0.1546961325966849,-0.0139211136890951,-0.41234221598877974
25,33010_sessie2_taskrobotEngagement,visible,0.453125,0.11262798634812299,0.26136363636363646,0.24444444444444446,0.0357142857142857,0.3589743589743589
26,33010_sessie3_taskrobotEngagement,visible,0.1547536433032617,0.14015748031496056,0.16882067851373173,0.23014256619144602,0.17204301075268813,0.2975778546712804
27,33011_sessie2_robotEngagement1,visible,0.11925601750547044,0.19395770392749245,0.09523809523809512,0.25806451612903225,0.0628037383177571,0.303030303030303
28,33011_sessie2_taskrobotEngagement,visible,0.37174721189591087,0.0625,0.17372881355932202,0.07692307692307687,0.0,0.08695652173913049
29,33011_sessie3_taskrobotEngagement,visible,0.12779552715654952,0.38235294117647056,0.2348178137651823,0.5010799136069113,0.29372197309417036,0.6007604562737643
30,33013_sessie3_robotEngagement3,visible,0.16981132075471694,0.36363636363636365,0.0,0.4,-0.1132075471698113,0.42105263157894735
31,33013_sessie3_taskEngagement1,visible,0.20833333333333337,0.3666666666666667,0.05163511187607561,0.5072046109510087,-0.04130262112787908,0.6274509803921569
32,33013_sessie3_taskrobotEngagement,visible,0.13207547169811318,0.19169329073482422,0.0,0.2247191011235955,-0.05689277899343548,0.24590163934426235
33,Proefpersoon22016_Sessie1,visible,-0.19213973799126638,-0.2666666666666666,-0.21095890410958895,-0.33333333333333326,-0.24,-0.3846153846153846
34,Proefpersoon22016_Sessie2,visible,0.7023086269744836,0.25625,0.6583850931677019,0.34745762711864414,0.61671469740634,0.4226804123711341
35,Proefpersoon22016_Sessie3,visible,-0.05074626865671639,-0.05095541401273884,-0.03937007874015741,-0.06751054852320659,-0.011494252873563093,-0.08060453400503764
36,Proefpersoon22017_Sessie1,visible,0.03409090909090917,0.0,-0.007407407407407307,0.0,-0.017094017094017033,0.0
37,Proefpersoon22017_Sessie2,visible,0.4444444444444444,0.05499999999999994,0.4953271028037384,0.12337662337662358,0.5636363636363637,0.20000000000000007
38,Proefpersoon22017_Sessie3,visible,0.4545454545454546,0.05882352941176472,0.5384615384615384,0.07692307692307687,0.6470588235294117,0.09090909090909094
39,Proefpersoon22018_Sessie1,visible,0.0,-0.07692307692307687,0.0,0.0,0.0,0.023255813953488413
40,Proefpersoon22018_Sessie2,visible,0.125,0.125,0.19999999999999996,0.19999999999999996,0.2857142857142857,0.2857142857142857
41,Proefpersoon22018_Sessie3,visible,0.38235294117647056,0.136986301369863,0.5714285714285714,0.125,0.7439024390243902,0.08080808080808077
42,Proefpersoon22030_Sessie1,visible,0.1694915254237288,0.2921348314606742,0.10954063604240283,0.333889816360601,0.07182320441988965,0.4151898734177215
43,Proefpersoon22030_Sessie2_Poging2,visible,0.11111111111111127,0.0561797752808989,0.17699115044247782,0.09433962264150952,0.23270440251572322,0.1351351351351351
44,Proefpersoon22030_Sessie3,visible,0.0669642857142857,0.057851239669421406,0.08982035928143706,-0.04268292682926833,0.1083032490974728,-0.14000000000000012
